
0.0625	    0.617914	 0.000755229	
0.1875	     6.74117	    0.463554	
0.3125	     23.2604	    0.309462	
0.4375	     61.5722	     1.52946	
0.5625	     98.3467	     2.00279	
0.6875	     142.016	     3.26492	
0.8125	     210.477	     3.95848	
0.9375	     268.141	     5.44164	
 1.062	     312.932	     7.45505	
 1.188	     342.079	     7.54055	
 1.312	      376.21	     11.2358	
 1.438	     447.291	     10.6208	
 1.562	      501.84	     13.8668	
 1.688	     575.787	     12.7073	
 1.812	     624.882	     16.9144	
 1.938	     676.849	     13.0322	
 2.062	     718.048	     15.7111	
 2.188	     729.642	     16.1045	
 2.312	     763.064	     15.3021	
 2.438	     797.655	     15.8911	
 2.562	     813.851	     16.3834	
 2.688	     817.865	     14.5241	
 2.812	     832.886	     16.3364	
 2.938	     841.442	     15.8096	
 3.062	     824.063	     16.3701	
 3.188	     814.111	     15.2486	
 3.312	     778.284	     15.8993	
 3.438	     739.903	     13.9435	
 3.562	     682.879	     15.0771	
 3.688	     632.476	     15.5928	
 3.812	     573.139	     16.8438	
 3.938	     525.008	     18.5475	
 4.062	     452.809	     15.8486	
 4.188	     412.792	     16.8597	
 4.312	     352.563	     16.6518	
 4.438	      296.77	     16.3791	
 4.562	     245.471	     14.6809	
 4.688	     204.958	     15.1791	
 4.812	     174.908	     15.4992	
 4.938	      145.73	     13.9492	
 5.062	     122.577	      15.271	
 5.188	     104.893	     12.9928	
 5.312	     83.8122	     11.4842	
 5.438	     76.5178	     13.7175	
 5.562	     65.6615	      11.955	
 5.688	     58.5632	     13.6538	
 5.812	     52.4276	      11.865	
 5.938	     47.4564	     10.4805	
 6.062	     43.8427	     8.66729	
 6.188	     47.9982	     8.58781	
 6.312	     38.7494	     9.89698	
 6.438	     39.5648	     10.5711	
 6.562	     33.5435	     8.77023	
 6.688	     35.1399	     8.42601	
 6.812	     35.5545	     9.26454	
 6.938	     34.5956	     8.01729	
 7.062	     31.2707	     6.33589	
 7.188	     32.7952	     6.10491	
 7.312	     31.6719	     6.76202	
 7.438	     33.1836	     5.67183	
 7.562	     32.5478	     8.06683	
 7.688	     28.2419	     5.57837	
 7.812	     31.5775	     5.74874	
 7.938	      31.919	     4.29563	
   8.5	     232.579	     44.1128	
   9.5	     241.414	     40.6914	
    11	     479.973	     71.3954	
    13	     391.491	      55.972	
    15	      371.66	     47.7897	
    17	     289.743	     41.3476	
    19	     246.754	     36.3073	
    25	     859.409	     140.857	
    35	     96.9586	     16.1344	
    45	     14.5782	     1.69129	
    55	      13.228	    0.531144	
    65	     7.75461	           0	
    75	     1.53671	           0	
    85	    0.566058	           0	
    95	   0.0598304	           0	
   105	           0	           0	
--------------------------------------
Total:	     23261.2	     1207.99	
