
0.0625	    0.096632	    0.019714	
0.1875	     3.19553	  0.00113829	
0.3125	     19.0105	    0.217966	
0.4375	     44.6439	    0.753463	
0.5625	     76.7765	    0.965832	
0.6875	     151.981	     2.57941	
0.8125	     177.996	     4.57702	
0.9375	     225.779	     5.00737	
 1.062	     347.669	      7.0329	
 1.188	     385.806	     7.24032	
 1.312	     467.747	     11.4826	
 1.438	     522.015	     11.9203	
 1.562	      570.24	     12.9058	
 1.688	     623.246	     14.8149	
 1.812	     657.851	     14.3093	
 1.938	     712.024	     13.7814	
 2.062	     751.051	     12.7641	
 2.188	     766.284	     14.4156	
 2.312	     805.398	      17.529	
 2.438	     814.304	     16.4376	
 2.562	     826.461	     17.4695	
 2.688	     845.598	     16.4142	
 2.812	      844.14	     17.6628	
 2.938	     830.663	     18.9483	
 3.062	     819.266	     17.1485	
 3.188	      800.26	     15.5123	
 3.312	     778.607	      15.526	
 3.438	     728.321	     17.9776	
 3.562	     685.555	     18.8044	
 3.688	     650.428	       19.07	
 3.812	     570.039	     17.4797	
 3.938	     525.282	     20.5873	
 4.062	     480.913	     18.1848	
 4.188	     421.471	     17.7446	
 4.312	       375.2	     17.7556	
 4.438	     331.265	     18.4915	
 4.562	     285.756	     17.1241	
 4.688	     261.879	      18.342	
 4.812	     214.875	     16.3195	
 4.938	     199.415	     17.7597	
 5.062	     160.918	      15.143	
 5.188	     143.541	     16.5868	
 5.312	     128.661	     18.1845	
 5.438	     112.636	      17.223	
 5.562	     99.3269	     17.6524	
 5.688	     94.2591	     14.4247	
 5.812	     93.2097	     13.8558	
 5.938	     80.0842	     12.5479	
 6.062	      70.416	     11.5176	
 6.188	     69.0185	     11.6086	
 6.312	     68.4152	     12.7902	
 6.438	     63.8059	     11.2347	
 6.562	     61.7453	     11.0122	
 6.688	     60.2267	      10.427	
 6.812	     56.1392	     10.9156	
 6.938	     51.1885	     9.61099	
 7.062	     51.8273	      9.1578	
 7.188	     52.8003	      8.8974	
 7.312	     48.7435	     8.64213	
 7.438	     45.2532	     6.42223	
 7.562	     44.1385	     6.51149	
 7.688	     48.6348	     5.71204	
 7.812	     44.2216	     6.04773	
 7.938	     41.9371	     7.49569	
   8.5	     373.051	     58.1235	
   9.5	     438.308	      81.888	
    11	      786.28	     128.753	
    13	     512.497	     58.7498	
    15	     308.381	     30.0162	
    17	     164.974	      16.466	
    19	     86.3256	      8.3513	
    25	     197.642	      16.028	
    35	     81.4043	     3.17361	
    45	     22.8709	    0.495481	
    55	     4.55276	           0	
    65	    0.413369	           0	
    75	   0.0364432	           0	
    85	           0	           0	
    95	           0	           0	
   105	           0	           0	
--------------------------------------
Total:	     24366.4	     1198.74	
